Category,Year,King County,Snohomish County
Murder,1990,54,12
Murder,1990,54,0
Murder,1990,54,7
Murder,1990,54,0
Murder,1990,54,0
Murder,1990,54,0
Murder,1990,54,3
Murder,1990,54,260
Murder,1990,54,
Murder,1990,54,0
Murder,1990,0,12
Murder,1990,0,0
Murder,1990,0,7
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,3
Murder,1990,0,260
Murder,1990,0,
Murder,1990,0,0
Murder,1990,0,12
Murder,1990,0,0
Murder,1990,0,7
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,3
Murder,1990,0,260
Murder,1990,0,
Murder,1990,0,0
Murder,1990,0,12
Murder,1990,0,0
Murder,1990,0,7
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,3
Murder,1990,0,260
Murder,1990,0,
Murder,1990,0,0
Murder,1990,30,12
Murder,1990,30,0
Murder,1990,30,7
Murder,1990,30,0
Murder,1990,30,0
Murder,1990,30,0
Murder,1990,30,3
Murder,1990,30,260
Murder,1990,30,
Murder,1990,30,0
Murder,1990,336.1,12
Murder,1990,336.1,0
Murder,1990,336.1,7
Murder,1990,336.1,0
Murder,1990,336.1,0
Murder,1990,336.1,0
Murder,1990,336.1,3
Murder,1990,336.1,260
Murder,1990,336.1,
Murder,1990,336.1,0
Murder,1990,,12
Murder,1990,,0
Murder,1990,,7
Murder,1990,,0
Murder,1990,,0
Murder,1990,,0
Murder,1990,,3
Murder,1990,,260
Murder,1990,,
Murder,1990,,0
Murder,1990,0,12
Murder,1990,0,0
Murder,1990,0,7
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,0
Murder,1990,0,3
Murder,1990,0,260
Murder,1990,0,
Murder,1990,0,0
Forcible Rape,1990,1120,217
Forcible Rape,1990,1120,15
Forcible Rape,1990,1120,
Forcible Rape,1990,302,217
Forcible Rape,1990,302,15
Forcible Rape,1990,302,
Forcible Rape,1990,,217
Forcible Rape,1990,,15
Forcible Rape,1990,,
Aggravated Assault,1990,6080,571
Aggravated Assault,1990,6080,315
Aggravated Assault,1990,6080,
Aggravated Assault,1990,1658,571
Aggravated Assault,1990,1658,315
Aggravated Assault,1990,1658,
Aggravated Assault,1990,,571
Aggravated Assault,1990,,315
Aggravated Assault,1990,,
Robbery,1990,3507,248
Robbery,1990,3507,0
Robbery,1990,3507,43
Robbery,1990,3507,0
Robbery,1990,3507,41
Robbery,1990,3507,14
Robbery,1990,3507,4.9
Robbery,1990,3507,24
Robbery,1990,3507,51.5
Robbery,1990,3507,
Robbery,1990,3507,0
Robbery,1990,0,248
Robbery,1990,0,0
Robbery,1990,0,43
Robbery,1990,0,0
Robbery,1990,0,41
Robbery,1990,0,14
Robbery,1990,0,4.9
Robbery,1990,0,24
Robbery,1990,0,51.5
Robbery,1990,0,
Robbery,1990,0,0
Robbery,1990,351,248
Robbery,1990,351,0
Robbery,1990,351,43
Robbery,1990,351,0
Robbery,1990,351,41
Robbery,1990,351,14
Robbery,1990,351,4.9
Robbery,1990,351,24
Robbery,1990,351,51.5
Robbery,1990,351,
Robbery,1990,351,0
Robbery,1990,0,248
Robbery,1990,0,0
Robbery,1990,0,43
Robbery,1990,0,0
Robbery,1990,0,41
Robbery,1990,0,14
Robbery,1990,0,4.9
Robbery,1990,0,24
Robbery,1990,0,51.5
Robbery,1990,0,
Robbery,1990,0,0
Robbery,1990,272,248
Robbery,1990,272,0
